x,y,z
0.692562,1.16863,0.227705
1.10803,1.17976,0.34993
1.11683,1.17703,0.32198
1.2781,1.37931,0.273353
1.90904,2.2579,0.243315
1.39437,0.877028,0.42439
2.13936,1.3507,0.424497
2.3463,1.47229,0.390788
2.84137,1.77813,0.360511
2.86141,1.76987,0.289363
2.89677,1.77119,0.217544
2.46081,0.678683,0.673861
2.47319,0.672164,0.621734
2.37893,0.643404,0.55155
2.44533,0.648385,0.50983
3.82357,0.914591,0.615541
3.81543,0.89816,0.52585
3.14007,0.754748,0.396179
3.07862,0.731714,0.324119
3.03287,0.712155,0.255666
3.03448,0.701473,0.188907
1.67598,0.0107887,0.5071
1.67252,0.00923434,0.473661
1.66817,0.00790796,0.440571
1.6639,0.00660574,0.407999
1.66751,0.00366646,0.376841
1.63138,0.00927293,0.341887
1.64308,0.00467804,0.312261
1.73992,-0.0185312,0.285587
1.83702,-0.0421204,0.253756
2.44081,-0.178484,0.210308
2.40955,-0.174879,0.159435
3.29867,-1.58911,0.898543
3.32877,-1.60705,0.813648
3.4067,-1.65639,0.735932
3.40929,-1.65615,0.643382
3.40984,-1.65454,0.551073
3.4167,-1.65704,0.459714
3.40569,-1.64778,0.367478
3.40856,-1.64756,0.276377
3.40109,-1.64051,0.185394
1.39112,-1.04802,0.323027
2.00632,-1.92772,0.244183
2.01124,-1.9235,0.175042
0.766962,-0.922393,0.298672
0.77142,-0.922659,0.267485
0.775702,-0.922117,0.236276
0.785804,-0.927354,0.173418
0.47672,1.66754,0.151789
0.470943,1.6781,0.188488
0.195837,-1.65617,0.204719
0.205092,-1.64608,0.155119
0.872376,1.18443,0.167378
0.855336,1.18196,0.272242
2.28722,2.16788,0.214223
1.24388,1.0432,0.255408
1.44666,1.26947,0.297292
1.34381,1.16197,0.323389
1.24961,1.06739,0.372685
3.49658,1.6553,0.165635
3.48767,1.65469,0.25252
3.47582,1.65261,0.338892
3.46197,1.64951,0.424672
3.46411,1.65398,0.511476
3.46417,1.65745,0.598615
3.45321,1.65561,0.684667
3.44822,1.65663,0.771867
3.44201,1.65708,0.859353
3.77018,0.392389,0.200527
3.77015,0.387869,0.286377
3.76787,0.383185,0.37219
3.76334,0.378347,0.457907
3.76651,0.373778,0.544412
3.73762,0.367856,0.627613
2.98798,0.334229,0.603074
2.48443,0.311885,0.581893
2.54066,0.307733,0.703133
1.97322,-0.181334,0.182394
1.67818,-0.106061,0.256686
1.63864,-0.098827,0.286922
1.65389,-0.107786,0.319163
1.72536,-0.134016,0.358098
1.85141,-0.177673,0.40824
3.53312,-0.708021,0.709285
3.5356,-0.72099,0.795295
3.53576,-0.733396,0.881941
3.53265,-0.744915,0.968935
2.62839,-1.56159,0.18738
2.59506,-1.55487,0.258546
2.56125,-1.54735,0.328185
2.54052,-1.55089,0.397411
2.511,-1.54653,0.465151
2.48771,-1.54748,0.532817
2.46387,-1.54783,0.599901
2.43807,-1.54624,0.666111
2.41107,-1.54339,0.731518
1.43099,-1.50806,0.182799
1.47699,-1.62812,0.232703
1.16136,-1.05009,0.26948
1.03987,-0.854862,0.325555
1.08596,-0.971086,0.369132
0.986556,-0.786737,0.377102
0.576488,-0.443681,0.159277
0.569048,-0.487476,0.191576
0.56557,-0.517729,0.208976
0.558304,-0.508684,0.228092
0.60562,1.16231,0.232176
1.02188,1.19055,0.299839
1.32793,0.934939,0.406899
1.39658,0.971002,0.359587
1.9032,1.36156,0.383645
1.9597,1.39022,0.341537
1.97699,1.38774,0.294752
1.99334,1.38439,0.247413
2.00793,1.37957,0.199569
2.02233,1.37449,0.15124
3.84293,1.35413,0.972713
3.85615,1.33966,0.879844
3.85751,1.32152,0.785488
3.85633,1.30279,0.691768
3.8631,1.28673,0.599889
3.85697,1.26688,0.50736
2.60679,0.877572,0.348319
2.61193,0.868003,0.291518
2.53005,0.833513,0.234646
2.57066,0.834427,0.17907
1.77693,0.104861,0.527913
1.76527,0.103108,0.490496
1.75157,0.101693,0.453705
1.78024,0.0921571,0.389976
1.7736,0.0900024,0.355285
1.76604,0.0880267,0.321032
1.7972,0.0810087,0.288899
2.05049,0.0440852,0.258603
2.03031,0.0433345,0.21793
1.84479,0.0656222,0.184462
3.32666,-1.2026,0.898551
3.35757,-1.2191,0.818313
3.4912,-1.28855,0.75488
3.48446,-1.28563,0.663884
3.49324,-1.29068,0.575649
3.4911,-1.29006,0.486434
3.48779,-1.28877,0.39762
3.4904,-1.2905,0.309365
3.49099,-1.29111,0.221061
1.58266,-1.04115,0.493503
1.58919,-1.04376,0.449388
2.26784,-1.84602,0.509846
2.26956,-1.83971,0.437297
2.26989,-1.82348,0.293428
2.27438,-1.82042,0.222113
2.27118,-1.80832,0.151124
0.951078,-1.15454,0.3426
1.11511,-1.6509,0.328348
