ix,iy,x,y,occupied
44,24,1.71662,-0.09486,1
45,24,1.81662,-0.09486,1
46,24,1.91662,-0.09486,1
47,24,2.01662,-0.09486,1
48,24,2.11662,-0.09486,1
49,24,2.21662,-0.09486,1
50,24,2.31662,-0.09486,1
51,24,2.41662,-0.09486,1
52,24,2.51662,-0.09486,1
57,24,3.01662,-0.09486,1
62,24,3.51662,-0.09486,1
63,24,3.61662,-0.09486,1
64,24,3.71662,-0.09486,1
14,25,-1.28338,0.00514,1
15,25,-1.18338,0.00514,1
16,25,-1.08338,0.00514,1
27,25,0.01662,0.00514,1
43,25,1.61662,0.00514,1
44,25,1.71662,0.00514,1
45,25,1.81662,0.00514,1
46,25,1.91662,0.00514,1
47,25,2.01662,0.00514,1
48,25,2.11662,0.00514,1
49,25,2.21662,0.00514,1
51,25,2.41662,0.00514,1
52,25,2.51662,0.00514,1
56,25,2.91662,0.00514,1
57,25,3.01662,0.00514,1
58,25,3.11662,0.00514,1
63,25,3.61662,0.00514,1
64,25,3.71662,0.00514,1
15,26,-1.18338,0.10514,1
16,26,-1.08338,0.10514,1
17,26,-0.98338,0.10514,1
25,26,-0.18338,0.10514,1
26,26,-0.08338,0.10514,1
43,26,1.61662,0.10514,1
44,26,1.71662,0.10514,1
45,26,1.81662,0.10514,1
46,26,1.91662,0.10514,1
47,26,2.01662,0.10514,1
48,26,2.11662,0.10514,1
50,26,2.31662,0.10514,1
51,26,2.41662,0.10514,1
52,26,2.51662,0.10514,1
53,26,2.61662,0.10514,1
55,26,2.81662,0.10514,1
56,26,2.91662,0.10514,1
57,26,3.01662,0.10514,1
58,26,3.11662,0.10514,1
59,26,3.21662,0.10514,1
64,26,3.71662,0.10514,1
16,27,-1.08338,0.20514,1
17,27,-0.98338,0.20514,1
18,27,-0.88338,0.20514,1
45,27,1.81662,0.20514,1
46,27,1.91662,0.20514,1
47,27,2.01662,0.20514,1
48,27,2.11662,0.20514,1
49,27,2.21662,0.20514,1
50,27,2.31662,0.20514,1
51,27,2.41662,0.20514,1
52,27,2.51662,0.20514,1
54,27,2.71662,0.20514,1
55,27,2.81662,0.20514,1
56,27,2.91662,0.20514,1
57,27,3.01662,0.20514,1
58,27,3.11662,0.20514,1
59,27,3.21662,0.20514,1
63,27,3.61662,0.20514,1
64,27,3.71662,0.20514,1
65,27,3.81662,0.20514,1
17,28,-0.98338,0.30514,1
18,28,-0.88338,0.30514,1
19,28,-0.78338,0.30514,1
20,28,-0.68338,0.30514,1
21,28,-0.58338,0.30514,1
36,28,0.91662,0.30514,1
45,28,1.81662,0.30514,1
46,28,1.91662,0.30514,1
47,28,2.01662,0.30514,1
51,28,2.41662,0.30514,1
52,28,2.51662,0.30514,1
53,28,2.61662,0.30514,1
54,28,2.71662,0.30514,1
55,28,2.81662,0.30514,1
56,28,2.91662,0.30514,1
57,28,3.01662,0.30514,1
58,28,3.11662,0.30514,1
59,28,3.21662,0.30514,1
60,28,3.31662,0.30514,1
62,28,3.51662,0.30514,1
63,28,3.61662,0.30514,1
64,28,3.71662,0.30514,1
65,28,3.81662,0.30514,1
16,29,-1.08338,0.40514,1
17,29,-0.98338,0.40514,1
18,29,-0.88338,0.40514,1
19,29,-0.78338,0.40514,1
20,29,-0.68338,0.40514,1
21,29,-0.58338,0.40514,1
52,29,2.51662,0.40514,1
53,29,2.61662,0.40514,1
55,29,2.81662,0.40514,1
56,29,2.91662,0.40514,1
57,29,3.01662,0.40514,1
58,29,3.11662,0.40514,1
61,29,3.41662,0.40514,1
62,29,3.51662,0.40514,1
63,29,3.61662,0.40514,1
64,29,3.71662,0.40514,1
65,29,3.81662,0.40514,1
15,30,-1.18338,0.50514,1
16,30,-1.08338,0.50514,1
17,30,-0.98338,0.50514,1
51,30,2.41662,0.50514,1
52,30,2.51662,0.50514,1
53,30,2.61662,0.50514,1
54,30,2.71662,0.50514,1
55,30,2.81662,0.50514,1
56,30,2.91662,0.50514,1
57,30,3.01662,0.50514,1
58,30,3.11662,0.50514,1
59,30,3.21662,0.50514,1
60,30,3.31662,0.50514,1
61,30,3.41662,0.50514,1
63,30,3.61662,0.50514,1
64,30,3.71662,0.50514,1
65,30,3.81662,0.50514,1
7,31,-1.98338,0.60514,1
8,31,-1.88338,0.60514,1
15,31,-1.18338,0.60514,1
16,31,-1.08338,0.60514,1
50,31,2.31662,0.60514,1
51,31,2.41662,0.60514,1
52,31,2.51662,0.60514,1
53,31,2.61662,0.60514,1
54,31,2.71662,0.60514,1
55,31,2.81662,0.60514,1
56,31,2.91662,0.60514,1
57,31,3.01662,0.60514,1
58,31,3.11662,0.60514,1
59,31,3.21662,0.60514,1
60,31,3.31662,0.60514,1
61,31,3.41662,0.60514,1
62,31,3.51662,0.60514,1
63,31,3.61662,0.60514,1
64,31,3.71662,0.60514,1
65,31,3.81662,0.60514,1
6,32,-2.08338,0.70514,1
7,32,-1.98338,0.70514,1
8,32,-1.88338,0.70514,1
13,32,-1.38338,0.70514,1
14,32,-1.28338,0.70514,1
15,32,-1.18338,0.70514,1
35,32,0.81662,0.70514,1
41,32,1.41662,0.70514,1
50,32,2.31662,0.70514,1
51,32,2.41662,0.70514,1
52,32,2.51662,0.70514,1
53,32,2.61662,0.70514,1
54,32,2.71662,0.70514,1
55,32,2.81662,0.70514,1
56,32,2.91662,0.70514,1
57,32,3.01662,0.70514,1
58,32,3.11662,0.70514,1
59,32,3.21662,0.70514,1
60,32,3.31662,0.70514,1
61,32,3.41662,0.70514,1
62,32,3.51662,0.70514,1
63,32,3.61662,0.70514,1
64,32,3.71662,0.70514,1
65,32,3.81662,0.70514,1
66,32,3.91662,0.70514,1
7,33,-1.98338,0.80514,1
8,33,-1.88338,0.80514,1
32,33,0.51662,0.80514,1
33,33,0.61662,0.80514,1
34,33,0.71662,0.80514,1
39,33,1.21662,0.80514,1
40,33,1.31662,0.80514,1
41,33,1.41662,0.80514,1
42,33,1.51662,0.80514,1
52,33,2.51662,0.80514,1
53,33,2.61662,0.80514,1
54,33,2.71662,0.80514,1
55,33,2.81662,0.80514,1
56,33,2.91662,0.80514,1
57,33,3.01662,0.80514,1
58,33,3.11662,0.80514,1
59,33,3.21662,0.80514,1
63,33,3.61662,0.80514,1
64,33,3.71662,0.80514,1
65,33,3.81662,0.80514,1
7,34,-1.98338,0.90514,1
8,34,-1.88338,0.90514,1
30,34,0.31662,0.90514,1
31,34,0.41662,0.90514,1
32,34,0.51662,0.90514,1
33,34,0.61662,0.90514,1
34,34,0.71662,0.90514,1
39,34,1.21662,0.90514,1
40,34,1.31662,0.90514,1
41,34,1.41662,0.90514,1
42,34,1.51662,0.90514,1
43,34,1.61662,0.90514,1
44,34,1.71662,0.90514,1
52,34,2.51662,0.90514,1
53,34,2.61662,0.90514,1
54,34,2.71662,0.90514,1
55,34,2.81662,0.90514,1
56,34,2.91662,0.90514,1
57,34,3.01662,0.90514,1
